iter	Passed	Remaining
0	58	58100
1	58	29143
2	58	19483
3	58	14648
4	59	11749
5	59	9843
6	59	8457
7	59	7418
8	60	6610
9	60	5965
10	60	5439
11	60	4998
12	60	4629
13	61	4313
14	61	4039
15	61	3808
16	62	3597
17	62	3407
18	62	3237
19	62	3083
20	63	2944
21	63	2819
22	63	2703
23	63	2600
24	64	2504
25	64	2415
26	64	2333
27	65	2256
28	65	2185
29	65	2119
30	66	2063
31	66	2005
32	67	1967
33	67	1915
34	67	1865
35	67	1819
36	68	1775
37	68	1735
38	68	1696
39	69	1657
40	69	1621
41	69	1587
42	69	1555
43	70	1523
44	70	1493
45	70	1464
46	70	1436
47	71	1409
48	71	1383
49	71	1358
50	71	1334
51	71	1311
52	72	1288
53	72	1267
54	72	1246
55	73	1231
56	73	1212
57	73	1194
58	73	1176
59	74	1162
60	74	1148
61	75	1140
62	75	1128
63	76	1114
64	76	1100
65	76	1087
66	77	1074
67	77	1060
68	77	1049
69	78	1036
70	78	1023
71	78	1011
72	78	1000
73	79	989
74	79	977
75	79	967
76	79	956
77	80	946
78	80	935
79	80	925
80	80	915
81	80	906
82	81	895
83	81	886
84	81	877
85	81	868
86	81	860
87	82	851
88	82	843
89	82	834
90	82	826
91	82	819
92	83	811
93	83	803
94	83	796
95	83	789
96	84	782
97	84	775
98	84	769
99	84	762
100	85	756
101	85	750
102	85	744
103	85	737
104	85	731
105	86	725
106	86	721
107	86	715
108	86	710
109	87	704
110	87	699
111	88	701
112	89	700
113	89	698
114	90	697
115	90	692
116	91	686
117	91	683
118	91	678
119	91	673
120	92	668
121	92	663
122	92	658
123	92	654
124	92	649
125	93	645
126	93	640
127	93	636
128	93	631
129	93	627
130	94	623
131	94	619
132	94	615
133	94	611
134	94	607
135	95	603
136	95	599
137	95	596
138	95	592
139	95	589
140	96	585
141	96	582
142	96	578
143	96	575
144	97	573
145	97	570
146	97	567
147	97	564
148	98	561
149	98	558
150	98	555
151	99	552
152	99	549
153	99	547
154	99	544
155	100	541
156	100	538
157	100	536
158	100	533
159	101	531
160	101	528
161	101	525
162	101	523
163	102	521
164	102	518
165	102	517
166	103	515
167	103	513
168	104	512
169	105	514
170	106	514
171	106	514
172	107	512
173	107	510
174	107	508
175	108	506
176	108	504
177	108	502
178	109	500
179	109	498
180	109	495
181	109	493
182	110	491
183	110	489
184	110	487
185	110	485
186	111	483
187	111	480
188	111	478
189	111	476
190	112	474
191	112	473
192	112	471
193	112	469
194	113	467
195	113	465
196	113	463
197	116	471
198	116	470
199	117	468
200	117	466
201	117	464
202	117	462
203	118	460
204	118	458
205	118	456
206	118	454
207	118	452
208	119	450
209	119	449
210	119	447
211	120	447
212	120	445
213	120	443
214	121	441
215	121	440
216	121	438
217	121	436
218	121	434
219	122	432
220	122	430
221	122	429
222	122	427
223	122	425
224	123	424
225	123	422
226	123	421
227	123	419
228	124	418
229	124	416
230	124	414
231	124	413
232	125	411
233	125	409
234	125	408
235	125	406
236	125	405
237	126	403
238	126	402
239	126	400
240	126	399
241	126	397
242	127	396
243	127	394
244	127	393
245	127	391
246	128	390
247	128	388
248	128	387
249	128	386
250	128	384
251	129	383
252	129	381
253	129	380
254	129	379
255	129	377
256	130	376
257	130	375
258	130	373
259	130	372
260	131	371
261	131	369
262	131	368
263	131	367
264	132	366
265	132	365
266	132	363
267	132	362
268	132	361
269	133	360
270	133	358
271	133	357
272	133	356
273	133	355
274	134	353
275	134	352
276	134	351
277	134	350
278	135	349
279	135	347
280	135	347
281	135	345
282	136	344
283	136	343
284	136	342
285	136	341
286	137	340
287	137	339
288	137	338
289	137	337
290	138	336
291	138	335
292	138	334
293	138	333
294	139	332
295	139	331
296	149	353
297	149	352
298	149	351
299	150	350
300	150	349
301	150	348
302	150	346
303	151	345
304	151	344
305	151	343
306	151	342
307	152	341
308	152	340
309	152	339
310	152	338
311	152	336
312	152	335
313	153	334
314	153	333
315	153	332
316	153	331
317	154	330
318	154	329
319	154	328
320	154	327
321	154	326
322	155	325
323	155	324
324	155	323
325	156	322
326	156	321
327	156	321
328	156	320
329	157	319
330	157	318
331	157	317
332	157	316
333	157	315
334	158	314
335	158	313
336	158	312
337	158	311
338	159	310
339	159	309
340	159	308
341	160	307
342	160	306
343	160	306
344	160	305
345	160	304
346	161	303
347	161	302
348	161	301
349	161	300
350	161	299
351	162	298
352	173	317
353	173	316
354	173	315
355	174	314
356	174	313
357	174	312
358	174	311
359	174	310
360	175	310
361	175	309
362	175	308
363	175	307
364	176	306
365	176	305
366	176	304
367	176	303
368	177	303
369	178	303
370	178	302
371	178	301
372	178	300
373	179	299
374	179	299
375	179	298
376	179	297
377	180	296
378	180	295
379	180	294
380	180	293
381	181	292
382	181	291
383	181	291
384	181	290
385	181	289
386	182	288
387	182	287
388	182	286
389	182	285
390	183	285
391	183	284
392	183	283
393	183	282
394	183	281
395	184	280
396	184	279
397	184	279
398	184	278
399	184	277
400	185	276
401	185	275
402	185	275
403	185	274
404	186	273
405	186	272
406	186	271
407	186	271
408	186	270
409	187	269
410	187	268
411	187	267
412	187	267
413	188	266
414	188	265
415	188	264
416	188	263
417	189	263
418	189	262
419	189	261
420	189	260
421	189	260
422	190	259
423	190	258
424	190	257
425	190	257
426	191	256
427	191	255
428	191	254
429	191	254
430	192	254
431	192	253
432	193	252
433	193	252
434	193	251
435	193	250
436	193	249
437	194	249
438	194	249
439	195	248
440	195	247
441	195	246
442	195	246
443	196	245
444	196	244
445	196	244
446	196	243
447	198	244
448	198	243
449	198	243
450	199	242
451	200	242
452	200	241
453	200	241
454	200	240
455	200	239
456	201	239
457	201	238
458	201	237
459	201	237
460	202	236
461	202	235
462	202	235
463	202	234
464	203	233
465	203	233
466	203	232
467	203	231
468	204	231
469	204	230
470	204	229
471	204	229
472	205	228
473	205	227
474	205	227
475	205	226
476	205	225
477	206	225
478	206	224
479	206	223
480	206	223
481	207	222
482	207	221
483	207	221
484	207	220
485	207	219
486	208	219
487	208	218
488	208	217
489	208	217
490	209	216
491	209	216
492	209	215
493	209	214
494	209	214
495	210	213
496	210	212
497	210	212
498	210	211
499	210	210
500	211	210
501	211	209
502	211	209
503	211	208
504	211	207
505	212	207
506	212	206
507	212	205
508	212	205
509	213	204
510	213	204
511	213	203
512	213	202
513	213	202
514	214	201
515	214	201
516	214	200
517	214	199
518	215	199
519	215	198
520	215	198
521	215	197
522	216	197
523	216	196
524	216	196
525	217	195
526	217	195
527	217	194
528	217	194
529	218	193
530	218	192
531	218	192
532	218	191
533	219	191
534	219	190
535	219	190
536	220	189
537	220	189
538	221	189
539	221	188
540	221	188
541	222	187
542	222	187
543	222	186
544	223	186
545	223	185
546	224	185
