iter	Passed	Remaining
0	59	59378
1	59	29799
2	59	19934
3	60	15013
4	60	12051
5	60	10084
6	61	8686
7	61	7626
8	61	6804
9	62	6148
10	62	5609
11	62	5160
12	62	4780
13	63	4455
14	63	4171
15	63	3922
16	64	3703
17	64	3512
18	64	3344
19	65	3188
20	65	3045
21	65	2916
22	65	2797
23	66	2689
24	66	2590
25	66	2498
26	66	2412
27	67	2333
28	67	2259
29	67	2191
30	68	2127
31	68	2065
32	68	2008
33	68	1953
34	69	1902
35	69	1855
36	69	1810
37	69	1767
38	70	1727
39	70	1689
40	70	1652
41	70	1617
42	71	1584
43	71	1552
44	71	1521
45	72	1493
46	72	1467
47	72	1439
48	72	1414
49	73	1389
50	73	1365
51	73	1341
52	73	1319
53	74	1298
54	74	1277
55	74	1257
56	74	1238
57	75	1219
58	75	1201
59	75	1184
60	75	1168
61	76	1151
62	76	1136
63	76	1120
64	76	1105
65	77	1091
66	77	1077
67	77	1064
68	77	1051
69	78	1038
70	78	1027
71	78	1014
72	78	1002
73	79	991
74	79	979
75	79	968
76	79	958
77	80	947
78	80	937
79	80	927
80	80	917
81	81	908
82	81	897
83	81	888
84	81	879
85	81	870
86	82	862
87	82	853
88	82	845
89	82	837
90	83	829
91	83	822
92	83	814
93	83	807
94	83	799
95	84	792
96	84	785
97	84	778
98	84	772
99	85	765
100	85	758
101	85	752
102	85	746
103	85	740
104	86	734
105	86	728
106	86	722
107	86	716
108	86	710
109	87	705
110	87	700
111	87	694
112	87	689
113	88	684
114	88	679
115	88	674
116	88	669
117	88	664
118	89	660
119	89	655
120	89	651
121	89	646
122	90	642
123	90	639
124	90	634
125	90	630
126	91	626
127	91	622
128	91	618
129	91	614
130	92	610
131	92	607
132	92	603
133	92	600
134	93	597
135	93	593
136	93	590
137	93	587
138	94	584
139	94	580
140	94	577
141	94	573
142	95	570
143	95	567
144	95	564
145	95	560
146	96	558
147	96	555
148	96	552
149	97	549
150	97	546
151	97	543
152	97	540
153	97	537
154	98	535
155	98	532
156	98	529
157	98	527
158	99	524
159	99	521
160	99	518
161	99	516
162	99	513
163	100	511
164	100	508
165	100	506
166	100	503
167	101	501
168	101	498
169	101	496
170	101	494
171	102	491
172	102	489
173	102	487
174	102	485
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	472
181	104	470
182	105	468
183	105	467
184	105	465
185	105	462
186	106	460
187	106	458
188	106	456
189	106	454
190	106	453
191	107	451
192	107	449
193	107	447
194	108	445
195	108	444
196	108	442
197	108	440
198	108	438
199	109	436
200	109	434
201	109	432
202	109	431
203	110	429
204	110	427
205	110	426
206	110	424
207	111	422
208	111	421
209	112	421
210	112	420
211	112	418
212	112	417
213	113	415
214	113	414
215	113	412
216	113	411
217	114	409
218	114	407
219	114	406
220	114	405
221	115	403
222	115	402
223	115	400
224	115	399
225	116	397
226	116	396
227	116	395
228	116	393
229	117	392
230	117	391
231	117	389
232	117	388
233	118	386
234	118	385
235	118	384
236	118	382
237	119	381
238	119	380
239	119	378
240	119	377
241	120	376
242	120	375
243	120	374
244	121	372
245	121	371
246	121	370
247	121	369
248	122	368
249	122	366
250	122	365
251	122	364
252	123	363
253	123	362
254	123	361
255	123	360
256	124	359
257	124	357
258	124	356
259	124	355
260	125	354
261	125	353
262	125	352
263	125	351
264	126	349
265	126	349
266	126	347
267	127	347
268	127	345
269	127	344
270	127	343
271	127	342
272	128	341
273	128	340
274	128	339
275	128	338
276	129	337
277	129	336
278	129	335
279	130	334
280	130	333
281	130	332
282	130	331
283	130	330
284	131	329
285	131	328
286	132	328
287	132	327
288	132	326
289	132	325
290	133	324
291	133	323
292	133	322
293	133	321
294	134	320
295	134	319
296	134	318
297	134	317
298	135	316
299	135	315
300	135	314
301	135	313
302	136	312
303	136	311
304	136	310
305	136	310
306	137	309
307	137	308
308	137	307
309	137	306
310	137	305
311	138	304
312	138	303
313	138	302
314	138	301
315	139	301
316	139	300
317	139	299
318	139	298
319	139	297
320	140	296
321	140	295
322	140	294
323	140	294
324	141	293
325	141	292
326	141	291
327	141	290
328	142	290
329	142	289
330	142	288
331	142	287
332	143	286
333	143	285
334	143	284
335	143	284
336	143	283
337	144	282
338	144	281
339	144	280
340	144	280
341	145	279
342	145	278
343	145	278
344	146	277
345	146	276
346	146	275
347	146	275
348	147	274
349	147	273
350	147	272
351	147	272
352	148	271
353	148	270
354	148	269
355	148	269
356	149	268
357	149	267
358	149	266
359	149	266
360	149	265
361	150	264
362	150	263
363	150	263
364	150	262
365	151	261
366	151	260
367	151	260
368	151	259
369	151	258
370	152	257
371	152	257
372	152	256
373	152	255
374	152	254
375	153	254
376	153	253
377	153	253
378	153	252
379	154	251
380	154	250
381	154	250
382	154	249
383	155	249
384	155	248
385	155	247
386	155	247
387	156	246
388	156	245
389	156	245
390	157	244
391	157	244
392	157	243
393	157	242
394	158	242
395	158	241
396	158	241
397	159	240
398	159	240
399	159	239
400	160	239
401	160	238
402	160	237
403	160	237
404	161	236
405	161	235
406	161	235
407	161	234
408	161	234
409	162	233
410	162	232
411	162	232
412	163	231
413	163	231
414	163	230
415	164	230
416	164	230
417	164	229
418	165	228
419	165	228
420	165	227
421	165	227
422	166	226
423	166	226
